qid,P569,S248,s528,s813,P570,S248,s528,s813
Q1339043,+1908-10-27T00:00:00Z/11,Q51850225,"""11000693""",+2018-04-13T00:00:00Z/11,+1981-09-25T00:00:00Z/11,Q51850225,"""11000693""",+2018-04-13T00:00:00Z/11
Q1447390,+1936-11-19T00:00:00Z/11,Q51850225,"""11000695""",+2018-04-13T00:00:00Z/11,+2015-01-26T00:00:00Z/11,Q51850225,"""11000695""",+2018-04-13T00:00:00Z/11
Q1704665,+1900-03-18T00:00:00Z/11,Q51850225,"""11000696""",+2018-04-13T00:00:00Z/11,+1958-12-06T00:00:00Z/11,Q51850225,"""11000696""",+2018-04-13T00:00:00Z/11
Q121154,+1908-12-23T00:00:00Z/11,Q51850225,"""11000699""",+2018-04-13T00:00:00Z/11,+1994-05-03T00:00:00Z/11,Q51850225,"""11000699""",+2018-04-13T00:00:00Z/11
Q2157402,+1888-07-29T00:00:00Z/11,Q51850225,"""11000700""",+2018-04-13T00:00:00Z/11,+1954-02-10T00:00:00Z/11,Q51850225,"""11000700""",+2018-04-13T00:00:00Z/11
Q1611332,+1914-05-20T00:00:00Z/11,Q51850225,"""11000704""",+2018-04-13T00:00:00Z/11,+1987-04-21T00:00:00Z/11,Q51850225,"""11000704""",+2018-04-13T00:00:00Z/11
Q1560507,+1917-03-11T00:00:00Z/11,Q51850225,"""11000706""",+2018-04-13T00:00:00Z/11,+2000-08-08T00:00:00Z/11,Q51850225,"""11000706""",+2018-04-13T00:00:00Z/11
Q2572833,+1901-03-09T00:00:00Z/11,Q51850225,"""11000708""",+2018-04-13T00:00:00Z/11,+1964-01-07T00:00:00Z/11,Q51850225,"""11000708""",+2018-04-13T00:00:00Z/11
Q1633599,+1910-10-22T00:00:00Z/11,Q51850225,"""11000710""",+2018-04-13T00:00:00Z/11,+1969-01-17T00:00:00Z/11,Q51850225,"""11000710""",+2018-04-13T00:00:00Z/11
Q1688571,+1910-03-24T00:00:00Z/11,Q51850225,"""11000711""",+2018-04-13T00:00:00Z/11,+1969-10-13T00:00:00Z/11,Q51850225,"""11000711""",+2018-04-13T00:00:00Z/11
Q1517826,+1892-07-01T00:00:00Z/11,Q51850225,"""11000712""",+2018-04-13T00:00:00Z/11,+1966-08-24T00:00:00Z/11,Q51850225,"""11000712""",+2018-04-13T00:00:00Z/11
Q1494613,+1909-04-15T00:00:00Z/11,Q51850225,"""11000713""",+2018-04-13T00:00:00Z/11,+1983-07-09T00:00:00Z/11,Q51850225,"""11000713""",+2018-04-13T00:00:00Z/11
Q2336417,+1942-10-29T00:00:00Z/11,Q51850225,"""11000714""",+2018-04-13T00:00:00Z/11,+1997-05-03T00:00:00Z/11,Q51850225,"""11000714""",+2018-04-13T00:00:00Z/11
Q1042184,+1914-07-22T00:00:00Z/11,Q51850225,"""11000716""",+2018-04-13T00:00:00Z/11,+1975-12-09T00:00:00Z/11,Q51850225,"""11000716""",+2018-04-13T00:00:00Z/11
Q96959,+1904-03-25T00:00:00Z/11,Q51850225,"""11000717""",+2018-04-13T00:00:00Z/11,+1988-07-02T00:00:00Z/11,Q51850225,"""11000717""",+2018-04-13T00:00:00Z/11
Q817932,+1908-03-13T00:00:00Z/11,Q51850225,"""11000718""",+2018-04-13T00:00:00Z/11,+1977-05-20T00:00:00Z/11,Q51850225,"""11000718""",+2018-04-13T00:00:00Z/11
Q1686933,+1892-03-08T00:00:00Z/11,Q51850225,"""11000720""",+2018-04-13T00:00:00Z/11,+1971-09-01T00:00:00Z/11,Q51850225,"""11000720""",+2018-04-13T00:00:00Z/11
Q1466423,+1893-08-07T00:00:00Z/11,Q51850225,"""11000721""",+2018-04-13T00:00:00Z/11,+1966-12-13T00:00:00Z/11,Q51850225,"""11000721""",+2018-04-13T00:00:00Z/11
Q2039086,+1908-01-30T00:00:00Z/11,Q51850225,"""11000724""",+2018-04-13T00:00:00Z/11,+1968-06-11T00:00:00Z/11,Q51850225,"""11000724""",+2018-04-13T00:00:00Z/11
Q1579877,+1902-02-14T00:00:00Z/11,Q51850225,"""11000725""",+2018-04-13T00:00:00Z/11,+1955-11-07T00:00:00Z/11,Q51850225,"""11000725""",+2018-04-13T00:00:00Z/11
Q1322721,+1936-09-16T00:00:00Z/11,Q51850225,"""11000726""",+2018-04-13T00:00:00Z/11,+2001-07-30T00:00:00Z/11,Q51850225,"""11000726""",+2018-04-13T00:00:00Z/11
Q566280,+1924-04-21T00:00:00Z/11,Q51850225,"""11000728""",+2018-04-13T00:00:00Z/11,+2012-02-20T00:00:00Z/11,Q51850225,"""11000728""",+2018-04-13T00:00:00Z/11
Q1894968,+1899-08-14T00:00:00Z/11,Q51850225,"""11000733""",+2018-04-13T00:00:00Z/11,+1979-01-20T00:00:00Z/11,Q51850225,"""11000733""",+2018-04-13T00:00:00Z/11
Q2202885,+1933-04-22T00:00:00Z/11,Q51850225,"""11000734""",+2018-04-13T00:00:00Z/11,+2004-12-15T00:00:00Z/11,Q51850225,"""11000734""",+2018-04-13T00:00:00Z/11
Q1704703,+1925-09-17T00:00:00Z/11,Q51850225,"""11000737""",+2018-04-13T00:00:00Z/11,+2012-10-15T00:00:00Z/11,Q51850225,"""11000737""",+2018-04-13T00:00:00Z/11
Q1690121,+1933-11-21T00:00:00Z/11,Q51850225,"""11000739""",+2018-04-13T00:00:00Z/11,+2012-01-05T00:00:00Z/11,Q51850225,"""11000739""",+2018-04-13T00:00:00Z/11
Q100838,+1921-10-22T00:00:00Z/11,Q51850225,"""11000741""",+2018-04-13T00:00:00Z/11,+1993-06-26T00:00:00Z/11,Q51850225,"""11000741""",+2018-04-13T00:00:00Z/11
Q709593,+1920-03-23T00:00:00Z/11,Q51850225,"""11000742""",+2018-04-13T00:00:00Z/11,+1987-08-16T00:00:00Z/11,Q51850225,"""11000742""",+2018-04-13T00:00:00Z/11
Q1629400,+1928-11-19T00:00:00Z/11,Q51850225,"""11000743""",+2018-04-13T00:00:00Z/11,+2006-12-14T00:00:00Z/11,Q51850225,"""11000743""",+2018-04-13T00:00:00Z/11
Q1704700,+1904-06-10T00:00:00Z/11,Q51850225,"""11000744""",+2018-04-13T00:00:00Z/11,+1984-11-27T00:00:00Z/11,Q51850225,"""11000744""",+2018-04-13T00:00:00Z/11
Q69145,+1924-12-16T00:00:00Z/11,Q51850225,"""11000745""",+2018-04-13T00:00:00Z/11,+2003-02-22T00:00:00Z/11,Q51850225,"""11000745""",+2018-04-13T00:00:00Z/11
Q1912620,+1902-01-06T00:00:00Z/11,Q51850225,"""11000746""",+2018-04-13T00:00:00Z/11,+1984-01-29T00:00:00Z/11,Q51850225,"""11000746""",+2018-04-13T00:00:00Z/11
Q1487921,+1895-06-07T00:00:00Z/11,Q51850225,"""11000747""",+2018-04-13T00:00:00Z/11,+1960-04-15T00:00:00Z/11,Q51850225,"""11000747""",+2018-04-13T00:00:00Z/11
Q825149,+1906-11-04T00:00:00Z/11,Q51850225,"""11000748""",+2018-04-13T00:00:00Z/11,+1981-10-31T00:00:00Z/11,Q51850225,"""11000748""",+2018-04-13T00:00:00Z/11
Q2038993,+1895-09-26T00:00:00Z/11,Q51850225,"""11000751""",+2018-04-13T00:00:00Z/11,+1966-10-03T00:00:00Z/11,Q51850225,"""11000751""",+2018-04-13T00:00:00Z/11
Q1555883,+1888-12-19T00:00:00Z/11,Q51850225,"""11000752""",+2018-04-13T00:00:00Z/11,+1962-07-08T00:00:00Z/11,Q51850225,"""11000752""",+2018-04-13T00:00:00Z/11
Q97122,+1921-05-23T00:00:00Z/11,Q51850225,"""11000753""",+2018-04-13T00:00:00Z/11,+1972-10-04T00:00:00Z/11,Q51850225,"""11000753""",+2018-04-13T00:00:00Z/11
Q1611342,+1912-07-23T00:00:00Z/11,Q51850225,"""11000759""",+2018-04-13T00:00:00Z/11,+1970-12-21T00:00:00Z/11,Q51850225,"""11000759""",+2018-04-13T00:00:00Z/11
Q1358434,+1925-01-26T00:00:00Z/11,Q51850225,"""11000760""",+2018-04-13T00:00:00Z/11,+2004-05-25T00:00:00Z/11,Q51850225,"""11000760""",+2018-04-13T00:00:00Z/11
Q1053460,+1908-12-20T00:00:00Z/11,Q51850225,"""11000761""",+2018-04-13T00:00:00Z/11,+1976-07-20T00:00:00Z/11,Q51850225,"""11000761""",+2018-04-13T00:00:00Z/11
